               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.017876,            0.005252,          0.00055567,              0.9956,             0.99403,             0.99437,             0.86484,           0.0083207,           0.0030853,          0.00038166,           0.0093466,           0.0093466,           0.0093466
                  35,            0.018459,           0.0052897,          0.00053439,             0.98079,             0.98271,             0.99007,               0.866,           0.0075502,           0.0030373,          0.00067091,           0.0093268,           0.0093268,           0.0093268
                  36,            0.019525,           0.0053495,          0.00052772,             0.99451,             0.99436,             0.99429,             0.87576,           0.0076701,           0.0029767,          0.00037028,            0.009307,            0.009307,            0.009307
                  37,             0.01981,           0.0052875,          0.00048685,             0.99531,             0.99572,             0.99433,             0.87733,           0.0078869,           0.0029956,          0.00036889,           0.0092872,           0.0092872,           0.0092872
                  38,            0.018826,           0.0052872,          0.00050069,             0.99576,             0.99388,             0.99443,             0.87594,           0.0078653,           0.0030746,          0.00035194,           0.0092674,           0.0092674,           0.0092674
                  39,            0.021534,           0.0052752,          0.00048279,             0.99387,             0.99494,             0.99449,               0.883,           0.0076255,           0.0030363,          0.00036172,           0.0092476,           0.0092476,           0.0092476
                  40,            0.019211,           0.0052138,          0.00048773,             0.98921,             0.99759,              0.9945,             0.87642,           0.0078095,           0.0029437,          0.00040053,           0.0092278,           0.0092278,           0.0092278
                  41,            0.018378,           0.0050769,          0.00050484,             0.99434,              0.9948,             0.99438,             0.88042,           0.0077148,           0.0030428,          0.00034425,            0.009208,            0.009208,            0.009208
                  42,            0.016378,           0.0051822,           0.0004826,             0.99588,             0.99168,             0.99427,             0.87532,           0.0078252,           0.0029855,           0.0003584,           0.0091882,           0.0091882,           0.0091882
                  43,            0.018714,           0.0049957,          0.00051267,             0.99559,             0.99679,             0.99434,              0.8781,            0.007438,           0.0029231,          0.00034936,           0.0091684,           0.0091684,           0.0091684
                  44,            0.020461,           0.0051458,          0.00044893,             0.99268,             0.99579,             0.99437,             0.88475,           0.0071972,           0.0029071,          0.00035587,           0.0091486,           0.0091486,           0.0091486
                  45,            0.020229,           0.0049646,          0.00045147,             0.99268,             0.99501,             0.99439,             0.88024,           0.0072939,             0.00292,          0.00034326,           0.0091288,           0.0091288,           0.0091288
                  46,            0.019225,           0.0049551,          0.00044555,             0.99579,             0.99557,             0.99433,             0.87729,            0.007263,           0.0030238,          0.00033163,            0.009109,            0.009109,            0.009109
                  47,            0.019251,           0.0049334,          0.00046429,             0.99084,             0.99802,             0.99431,             0.88471,           0.0073817,           0.0028685,          0.00035091,           0.0090892,           0.0090892,           0.0090892
                  48,            0.018198,           0.0049416,          0.00040472,             0.99131,             0.99572,             0.99434,             0.88529,            0.007381,           0.0029304,          0.00033766,           0.0090694,           0.0090694,           0.0090694
                  49,            0.021558,           0.0048641,          0.00045698,             0.99192,             0.99475,             0.99423,             0.88718,           0.0073566,           0.0029411,          0.00036777,           0.0090496,           0.0090496,           0.0090496
                  50,            0.017044,           0.0049514,          0.00044399,             0.99513,             0.99639,             0.99445,             0.88922,           0.0071643,           0.0029421,          0.00031776,           0.0090298,           0.0090298,           0.0090298
                  51,            0.016019,            0.004864,           0.0004109,             0.99197,             0.99519,             0.99441,             0.88513,           0.0071155,           0.0028636,          0.00035343,             0.00901,             0.00901,             0.00901
                  52,            0.017967,           0.0048541,          0.00041003,             0.99685,             0.99539,             0.99443,             0.89222,           0.0069092,           0.0028179,          0.00029778,           0.0089902,           0.0089902,           0.0089902
                  53,            0.018154,           0.0050071,          0.00041496,             0.99665,             0.99639,             0.99441,             0.86955,           0.0075668,           0.0029461,          0.00027982,           0.0089704,           0.0089704,           0.0089704
                  54,            0.016378,           0.0048668,          0.00041442,             0.99059,             0.99608,             0.99436,             0.88546,           0.0068704,           0.0028379,          0.00033124,           0.0089506,           0.0089506,           0.0089506
                  55,            0.020698,           0.0048848,          0.00038334,             0.99426,             0.99288,             0.99437,             0.88032,           0.0070541,            0.002855,          0.00028968,           0.0089308,           0.0089308,           0.0089308
                  56,             0.02006,           0.0049845,           0.0003734,             0.99304,             0.99701,             0.99433,             0.89521,            0.006898,           0.0028314,          0.00028444,            0.008911,            0.008911,            0.008911
                  57,            0.020313,           0.0047152,          0.00041066,             0.99621,             0.99639,             0.99446,             0.88269,           0.0071355,           0.0028991,          0.00028864,           0.0088912,           0.0088912,           0.0088912
                  58,            0.018913,           0.0049855,          0.00067306,             0.99293,             0.98309,             0.99129,             0.82793,            0.010437,           0.0033802,           0.0053327,           0.0088714,           0.0088714,           0.0088714
                  59,            0.018153,           0.0050809,          0.00040241,             0.99418,             0.99037,             0.99425,             0.87745,           0.0071698,           0.0029635,          0.00033931,           0.0088516,           0.0088516,           0.0088516
                  60,            0.017668,           0.0049888,          0.00043913,             0.99044,             0.98611,             0.99413,             0.88678,           0.0070412,           0.0028344,          0.00044607,           0.0088318,           0.0088318,           0.0088318
                  61,            0.021673,           0.0050382,          0.00044098,             0.99667,             0.98888,             0.99445,             0.87651,           0.0074006,           0.0029945,          0.00027877,            0.008812,            0.008812,            0.008812
                  62,            0.016637,           0.0050104,          0.00036039,             0.99365,             0.99444,             0.99437,             0.88624,           0.0067518,           0.0028029,           0.0002864,           0.0087922,           0.0087922,           0.0087922
                  63,            0.021323,            0.004939,          0.00040087,             0.99004,             0.99252,             0.99434,             0.88411,           0.0068615,           0.0027449,          0.00028216,           0.0087724,           0.0087724,           0.0087724
                  64,            0.016082,           0.0049367,          0.00038052,             0.99628,             0.99102,             0.99424,             0.88458,            0.007185,            0.002852,           0.0002783,           0.0087526,           0.0087526,           0.0087526
                  65,            0.016375,            0.004891,           0.0003798,             0.98728,             0.99243,             0.99439,             0.88966,           0.0067073,            0.002839,          0.00032796,           0.0087328,           0.0087328,           0.0087328
                  66,            0.016811,           0.0048764,          0.00037228,             0.99425,              0.9968,             0.99431,             0.88228,           0.0067542,           0.0027923,           0.0002963,            0.008713,            0.008713,            0.008713
                  67,            0.018633,           0.0048701,          0.00041926,             0.99259,             0.99398,              0.9944,             0.88763,            0.006693,           0.0027689,          0.00029441,           0.0086932,           0.0086932,           0.0086932
                  68,            0.017327,            0.004781,          0.00036914,              0.9909,             0.98797,             0.99416,             0.86763,           0.0074555,           0.0031234,          0.00026538,           0.0086734,           0.0086734,           0.0086734
                  69,            0.017772,           0.0048373,          0.00035786,             0.99502,             0.99422,             0.99435,             0.88378,           0.0068136,           0.0028512,          0.00025916,           0.0086536,           0.0086536,           0.0086536
                  70,            0.015445,           0.0048181,          0.00035066,             0.99057,             0.99699,             0.99428,             0.89079,            0.006714,           0.0028241,          0.00026026,           0.0086338,           0.0086338,           0.0086338
                  71,            0.015811,           0.0048817,          0.00036795,               0.989,             0.98857,             0.99413,             0.88732,           0.0069859,           0.0029082,          0.00037819,            0.008614,            0.008614,            0.008614
                  72,            0.018446,           0.0050038,          0.00052758,             0.98428,             0.99463,              0.9943,             0.88936,            0.006738,           0.0028405,          0.00036645,           0.0085942,           0.0085942,           0.0085942
                  73,            0.021522,           0.0048855,          0.00045309,              0.9959,             0.99136,             0.99459,             0.88682,           0.0069208,           0.0028377,          0.00028781,           0.0085744,           0.0085744,           0.0085744
                  74,            0.018187,           0.0048867,          0.00034869,             0.99327,             0.99338,             0.99438,             0.88372,           0.0068042,           0.0028712,          0.00024977,           0.0085546,           0.0085546,           0.0085546
                  75,            0.018866,            0.004728,           0.0003861,             0.98948,             0.99806,             0.99434,             0.89433,           0.0065296,            0.002752,          0.00026294,           0.0085348,           0.0085348,           0.0085348
                  76,            0.019055,           0.0049982,          0.00045183,             0.98893,             0.99795,             0.99416,             0.87804,           0.0076523,           0.0030147,          0.00034284,            0.008515,            0.008515,            0.008515
                  77,            0.017882,           0.0049918,          0.00059605,             0.98884,             0.99599,             0.99416,             0.87016,           0.0074976,           0.0029211,          0.00034893,           0.0084952,           0.0084952,           0.0084952
                  78,            0.016728,           0.0052221,          0.00042965,             0.98188,             0.55503,             0.67203,             0.54273,            0.041415,            0.014329,             0.10219,           0.0084754,           0.0084754,           0.0084754
                  79,            0.015253,           0.0052163,          0.00041457,             0.98981,             0.98352,             0.99416,             0.87182,           0.0071183,           0.0029668,          0.00029137,           0.0084556,           0.0084556,           0.0084556
                  80,            0.015755,           0.0055035,          0.00043029,              0.9445,             0.83863,             0.90683,             0.66305,            0.015762,           0.0081543,           0.0067077,           0.0084358,           0.0084358,           0.0084358
                  81,            0.016633,           0.0057606,            0.000485,             0.93914,             0.97709,             0.97215,             0.82899,           0.0080851,           0.0033096,           0.0012171,            0.008416,            0.008416,            0.008416
                  82,            0.015441,           0.0054219,          0.00044192,             0.99184,             0.97125,             0.98826,             0.83046,           0.0082962,           0.0033884,          0.00031979,           0.0083962,           0.0083962,           0.0083962
                  83,            0.017424,           0.0054177,          0.00048772,             0.98067,             0.98093,             0.99376,             0.84112,           0.0077215,           0.0031576,          0.00030604,           0.0083764,           0.0083764,           0.0083764
                  84,            0.015043,           0.0055466,          0.00041367,             0.98161,             0.97662,             0.98851,             0.82286,            0.011331,           0.0041714,           0.0002535,           0.0083566,           0.0083566,           0.0083566
                  85,            0.016301,           0.0056966,          0.00066924,             0.96854,             0.91014,             0.97118,             0.77449,           0.0099611,           0.0040205,           0.0010599,           0.0083368,           0.0083368,           0.0083368
