               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.018779,           0.0056927,          0.00064763,             0.98947,             0.99146,             0.99407,             0.86397,           0.0091723,           0.0032626,          0.00055506,           0.0093466,           0.0093466,           0.0093466
                  35,            0.018374,           0.0055768,          0.00059419,             0.99253,             0.99012,             0.99069,             0.86682,           0.0086252,           0.0032013,          0.00044167,           0.0093268,           0.0093268,           0.0093268
                  36,            0.019136,           0.0054926,          0.00054606,             0.99222,             0.99411,             0.99441,             0.87905,           0.0086108,           0.0031832,          0.00045136,            0.009307,            0.009307,            0.009307
                  37,            0.021801,           0.0055807,           0.0005649,             0.99219,             0.99386,             0.99438,             0.87519,            0.008783,           0.0032072,          0.00045039,           0.0092872,           0.0092872,           0.0092872
                  38,            0.019137,           0.0053984,          0.00054589,             0.99563,             0.99494,              0.9944,             0.86123,           0.0086701,           0.0031718,          0.00041134,           0.0092674,           0.0092674,           0.0092674
                  39,            0.019667,           0.0052993,          0.00052846,             0.99742,             0.98833,             0.99443,             0.86901,           0.0086946,           0.0031766,          0.00040468,           0.0092476,           0.0092476,           0.0092476
                  40,            0.018382,           0.0053341,          0.00056209,             0.99695,             0.98762,             0.99458,             0.87141,           0.0085241,           0.0032215,          0.00044606,           0.0092278,           0.0092278,           0.0092278
                  41,            0.014625,           0.0054366,          0.00056958,              0.9392,             0.96198,               0.985,               0.863,           0.0080921,           0.0032415,           0.0014911,            0.009208,            0.009208,            0.009208
                  42,            0.016551,           0.0053718,          0.00059142,             0.99668,             0.98821,              0.9942,             0.82189,           0.0092151,           0.0035426,          0.00039402,           0.0091882,           0.0091882,           0.0091882
                  43,            0.015907,            0.005318,          0.00050069,             0.99454,             0.99398,             0.99435,             0.86033,           0.0085955,            0.003239,          0.00038027,           0.0091684,           0.0091684,           0.0091684
                  44,            0.017858,           0.0053691,          0.00049145,             0.99436,             0.99579,              0.9944,             0.85044,            0.008045,           0.0031544,          0.00040543,           0.0091486,           0.0091486,           0.0091486
